docket_id,court_id
63939443,washctapp
63939467,washctapp
63939469,washctapp
63939511,washctapp
63939515,washctapp
63939538,washctapp
63939529,washctapp
63939584,washctapp
63939636,washctapp
63939638,washctapp
63939646,washctapp
63939647,washctapp
63939718,washctapp
63939741,washctapp
63939784,washctapp
63939819,washctapp
63939821,washctapp
63939869,washctapp
63939871,washctapp
63939979,washctapp
63950331,washctapp
63950332,washctapp
63939993,washctapp
63939997,washctapp
63940011,washctapp
63940013,washctapp
63950377,washctapp
63950338,washctapp
63940015,washctapp
63940016,washctapp
63940031,washctapp
63940135,washctapp
63940167,washctapp
63940169,washctapp
63940206,washctapp
63940230,washctapp
63940273,washctapp
63940275,washctapp
63940331,washctapp
63940333,washctapp
63940335,washctapp
63940358,washctapp
63940359,washctapp
63940389,washctapp
63940395,washctapp
63940428,washctapp
63940432,washctapp
63940528,washctapp
63940532,washctapp
63940596,washctapp
63940627,washctapp
63940643,washctapp
63940645,washctapp
63940647,washctapp
63940649,washctapp
63940650,washctapp
63940652,washctapp
63940654,washctapp
63940658,washctapp
63940674,washctapp
63940675,washctapp
63940686,washctapp
63940731,washctapp
63940777,washctapp
63940814,washctapp
63940816,washctapp
63940844,washctapp
63940846,washctapp
63940977,washctapp
63940991,washctapp
63941025,washctapp
63941009,washctapp
63941021,washctapp
63941056,washctapp
63941057,washctapp
63941111,washctapp
63941113,washctapp
63941130,washctapp
63941131,washctapp
63941171,washctapp
63941226,washctapp
1608654,wash
63941294,washctapp
63950424,washctapp
63950431,washctapp
63950434,washctapp
881513,wash
63941315,washctapp
63941317,washctapp
63941373,washctapp
63941374,washctapp
63941333,washctapp
63941354,washctapp
63950479,washctapp
63950466,washctapp
63941456,washctapp
63941384,washctapp
63941495,washctapp
63941557,washctapp
63941558,washctapp
63941602,washctapp
63941630,washctapp
63941632,washctapp
63941730,washctapp
63941750,washctapp
63941794,washctapp
63941797,washctapp
63941865,washctapp
63941926,washctapp
63941996,washctapp
63942004,washctapp
63942006,washctapp
63942010,washctapp
63942024,washctapp
63942016,washctapp
63942033,washctapp
63942088,washctapp
63942097,washctapp
63942125,washctapp
63942204,washctapp
63942205,washctapp
63942206,washctapp
63942226,washctapp
63942228,washctapp
63942230,washctapp
63942232,washctapp
63942235,washctapp
63942237,washctapp
63942242,washctapp
63942243,washctapp
63942282,washctapp
63942284,washctapp
63942286,washctapp
63942290,washctapp
63942292,washctapp
63942326,washctapp
63950852,washctapp
63950855,washctapp
63950866,washctapp
63950876,washctapp
64021028,washctapp
64021038,washctapp
64021050,washctapp
63950925,washctapp
63950927,washctapp
63950931,washctapp
63950961,washctapp
63950936,washctapp
63951000,washctapp
63951002,washctapp
63951037,washctapp
63951038,washctapp
63951087,washctapp
63951115,washctapp
63951198,washctapp
63951246,washctapp
63951247,washctapp
63951276,washctapp
63951278,washctapp
63951428,washctapp
63951430,washctapp
63951465,washctapp
63951467,washctapp
63951506,washctapp
63951508,washctapp
63951531,washctapp
63951533,washctapp
63951549,washctapp
63951551,washctapp
63951552,washctapp
63951560,washctapp
63951559,washctapp
63951561,washctapp
63951563,washctapp
63951569,washctapp
63951571,washctapp
63951573,washctapp
63951567,washctapp
63951584,washctapp
63951586,washctapp
63951587,washctapp
63951595,washctapp
63951597,washctapp
63951599,washctapp
63951625,washctapp
63951626,washctapp
63951636,washctapp
63951686,washctapp
63951712,washctapp
63951713,washctapp
63951780,washctapp
63951809,washctapp
63951842,washctapp
63951847,washctapp
64021070,washctapp
64017229,washctapp
64017241,washctapp
64017205,washctapp
63951986,washctapp
63952042,washctapp
63952045,washctapp
63952089,washctapp
63952090,washctapp
63952061,washctapp
63952147,washctapp
63952201,washctapp
63952203,washctapp
63952218,washctapp
63952219,washctapp
